"Lemma","SFI Rank","SFI","Adjusted Frequency per Million (U)"
"injury","1801","56.17","41"
"vast","1802","56.17","41"
"exhibition","1803","56.17","41"
"producer","1804","56.17","41"
"regional","1805","56.17","41"
"immediate","1806","56.16","41"
"incident","1807","56.16","41"
"childhood","1808","56.16","41"
"draft","1809","56.16","41"
"slip","1810","56.16","41"
"accompany","1811","56.16","41"
"politician","1812","56.15","41"
"angry","1813","56.15","41"
"knock","1814","56.15","41"
"seed","1815","56.15","41"
"salary","1816","56.15","41"
"illustrate","1817","56.13","41"
"imply","1818","56.13","41"
"breakfast","1819","56.13","41"
"temporary","1820","56.12","41"
"liberal","1821","56.12","41"
"lake","1822","56.11","41"
"qualify","1823","56.11","41"
"competitive","1824","56.1","41"
"truly","1825","56.09","41"
